,Strategy_Hold,Strategy_Monthly,Strategy_Hold
2024-08-01,1.0,0.9746788610254957,1.0
2024-08-02,0.9834739461563105,0.9585712656878825,0.9933961142034557
2024-08-05,0.9601186029355391,0.9354405493028373,0.9758666192570729
2024-08-06,0.963667777875385,0.9391452574258502,0.9786361731220805
2024-08-07,0.947060468037811,0.9224351294690994,0.9738011846897208
2024-08-08,0.9648048083202625,0.9404366552430007,0.986451409397717
2024-08-09,0.9692023143300559,0.9447553588423002,0.9904506450239037
2024-08-12,0.966105252537013,0.9415230680851848,0.9914670482068544
2024-08-13,0.9886509798666528,0.9643040393501465,1.0026798120924167
2024-08-14,0.9804207377016197,0.9559483261984653,1.0053304609290785
2024-08-15,1.0043505895168856,0.9802728102615325,1.01394305774431
2024-08-16,1.0088802063607356,0.9847324047630504,1.0161832110650535
2024-08-19,1.0226862391695484,0.9982928691002252,1.022528769520825
2024-08-20,1.0206342689733139,0.9963160427115078,1.022719330963015
2024-08-21,1.0258733206697834,1.0014294986256287,1.0257107539493746
2024-08-22,1.002430408758015,0.978616254041342,1.0192179271736233
2024-08-23,1.022401792521533,0.9984872029567625,1.0275423838399909
2024-08-26,1.0102880410236048,0.9865967962270954,1.025626800427718
2024-08-27,1.0046123746882238,0.9808785714317646,1.026477648857866
2024-08-28,0.9970663150692165,0.9733541665214592,1.0226036447053506
2024-08-29,0.9974132087077654,0.9737406431434326,1.0220607431835107
2024-08-30,1.0120408749871628,0.9885060958212653,1.0271345636258902
2024-09-02,1.0120408749871628,0.9885060958212653,1.0271345636258902
2024-09-03,1.000960984009591,0.9777280922827013,1.0160404341494746
2024-09-04,1.015308890799048,0.9921394071075417,1.0165916394123504
2024-09-05,1.0318434044151732,1.0083494446042083,1.0160926029179227
2024-09-06,0.9966931455718318,0.974707931872368,1.0063625874627724
2024-09-09,1.0093769066031235,0.9873200374567782,1.0135928127776757
2024-09-10,1.0271912814493938,1.0049136156452696,1.0175860580192007
2024-09-11,1.0334782461462386,1.0110752448560172,1.0235887906276298
2024-09-12,1.0385637595304784,1.0160382686100382,1.0283127112301391
2024-09-13,1.0418211629558964,1.0192343162587416,1.0324117092610754
2024-09-16,1.0378444143137093,1.0154584980439967,1.0344195401392542
2024-09-17,1.03920659376001,1.0167762553186723,1.0341283623898576
2024-09-18,1.0361062509628138,1.0137424939867683,1.031028693552302
2024-09-19,1.067687166568223,1.0443764216164115,1.0416140783192178
2024-09-20,1.0583206794998785,1.035636277270646,1.0404691230933973
2024-09-23,1.0770285535618505,1.0532947945565767,1.0417702055312614
2024-09-24,1.0850045665559267,1.0607160250798395,1.044067556314942
2024-09-25,1.0871831838841428,1.062446117008612,1.0411440346003256
2024-09-26,1.0842709156752668,1.059992055113103,1.0436488515340825
2024-09-27,1.0943511408053392,1.0691880040822812,1.0439287603851115
2024-09-30,1.0967870582263188,1.0714123348094355,1.045539808201211
2024-10-01,1.0890805183598813,1.0643389961743237,1.0410517030005135
2024-10-02,1.074756404304946,1.0514524216853391,1.0405519611229757
